Welding speed(m/s),Rotation speed(rps),plate thickness(m),"Shoulder
radius(m)","Axial
pressure(Mpa)","Pin root
radius(m)",pin tip radius(m),Tilt angle(degree),"Thermal
diffusivity(m2/s)","Yield
strength(Mpa)",Result
5.83E-04,13.33,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,1
1.17E-03,13.33,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,1
2.33E-03,13.33,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,1
5.83E-04,16.67,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,1
1.17E-03,16.67,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,1
2.33E-03,16.67,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,1
5.83E-04,20,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,1
1.17E-03,20,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,1
2.33E-03,20,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,1
5.83E-04,23.33,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,0
1.17E-03,23.33,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,0
2.33E-03,23.33,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,0
5.83E-04,26.67,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,0
1.17E-03,26.67,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,0
2.33E-03,26.67,0.004,0.01,13,0.0031,0.0009,2,4.97E-05,324,0
7.50E-04,20,0.006,0.009,7.86,0.003,0.003,2,4.97E-05,324,1
1.25E-03,16.68,0.006,0.009,7.86,0.003,0.003,2,4.97E-05,324,1
1.25E-03,18.34,0.006,0.009,7.86,0.003,0.003,2,4.97E-05,324,1
1.25E-03,20,0.006,0.009,7.86,0.003,0.003,2,4.97E-05,324,0
1.25E-03,21.68,0.006,0.009,7.86,0.003,0.003,2,4.97E-05,324,0
1.25E-03,23.35,0.006,0.009,7.86,0.003,0.003,2,4.97E-05,324,0
1.67E-03,20,0.006,0.009,7.86,0.003,0.003,2,4.97E-05,324,0
9.16E-04,5,0.003,0.01,8,0.0031,0.0009,2,4.97E-05,324,1
6.66E-04,8.33,0.003,0.01,8,0.0031,0.0009,2,4.97E-05,324,0
9.16E-04,8.33,0.003,0.01,8,0.0031,0.0009,2,4.97E-05,324,0
1.33E-03,11.67,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,1
1.67E-03,11.67,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,1
2.08E-03,11.67,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,1
2.67E-03,11.67,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,1
3.33E-03,11.67,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,1
1.33E-03,15,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,0
1.67E-03,15,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,0
2.08E-03,15,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,0
2.67E-03,15,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,0
3.33E-03,15,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,1
4.17E-03,15,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,1
1.67E-03,18.67,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,0
2.08E-03,18.67,0.004,0.009,13,0.003,0.003,2,4.97E-05,324,0
1.67E-03,2.5,0.00635,0.0075,13,0.003,0.003,2,4.89E-05,352,1
1.67E-03,3.33,0.00635,0.0075,13,0.003,0.003,2,4.89E-05,352,1
1.67E-03,4.17,0.00635,0.0075,13,0.003,0.003,2,4.89E-05,352,1
1.67E-03,6.67,0.00635,0.0075,13,0.003,0.003,2,4.89E-05,352,0
1.67E-03,10,0.00635,0.0075,13,0.003,0.003,2,4.89E-05,352,0
1.67E-03,13.33,0.00635,0.0075,13,0.003,0.003,2,4.89E-05,352,0
5.00E-04,8.34,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,1
5.00E-04,11.67,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
5.00E-04,15,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
1.00E-03,11.67,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
1.00E-03,15,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
1.50E-03,8.34,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,1
1.50E-03,11.67,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
1.50E-03,15,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
1.50E-03,18.34,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
2.00E-03,11.67,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
2.00E-03,15,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
2.00E-03,18.34,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
2.00E-03,21.68,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
2.50E-03,8.34,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,1
2.50E-03,11.67,0.008,0.012,26.5,0.0037,0.0027,2,4.89E-05,352,0
1.30E-03,4.33,0.0175,0.014,13,0.005,0.0035,2.5,4.89E-05,352,0
1.60E-03,4.33,0.0175,0.014,13,0.005,0.0035,2.5,4.89E-05,352,1
2.50E-03,4.33,0.0175,0.014,13,0.005,0.0035,2.5,4.89E-05,352,1
1.60E-03,3.5,0.0175,0.014,13,0.005,0.0035,2.5,4.89E-05,352,1
1.60E-03,5,0.0175,0.014,13,0.005,0.0035,2.5,4.89E-05,352,0
6.67E-03,6.67,0.0075,0.01125,13,0.005,0.0025,2.5,4.89E-05,352,1
5.00E-03,6.67,0.0075,0.01125,13,0.005,0.0025,2.5,4.89E-05,352,1
3.33E-03,6.67,0.0075,0.01125,13,0.005,0.0025,2.5,4.89E-05,352,0
1.67E-03,6.67,0.0075,0.01125,13,0.005,0.0025,2.5,4.89E-05,352,0
3.33E-03,10,0.0075,0.01125,13,0.005,0.0025,2.5,4.89E-05,352,0
3.33E-03,13.33,0.0075,0.01125,13,0.005,0.0025,2.5,4.89E-05,352,0
3.33E-03,16.68,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,1
5.00E-03,16.68,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,1
3.33E-03,23.35,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
5.00E-03,23.35,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
1.67E-03,26.68,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
3.33E-03,26.68,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
5.00E-03,26.68,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
6.67E-03,26.68,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
1.67E-03,33.33,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
3.33E-03,33.33,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
5.00E-03,33.33,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
6.67E-03,33.33,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
5.00E-03,41.67,0.004,0.0065,13,0.002,0.0013,2,6.90E-05,276,0
1.25E-03,13.34,0.006,0.009,7.86,0.003,0.003,2,6.90E-05,276,1
1.25E-03,15.01,0.006,0.009,7.86,0.003,0.003,2,6.90E-05,276,1
1.25E-03,16.68,0.006,0.009,7.86,0.003,0.003,2,6.90E-05,276,1
1.25E-03,18.34,0.006,0.009,7.86,0.003,0.003,2,6.90E-05,276,0
1.67E-03,20,0.006,0.009,7.86,0.003,0.003,2,6.90E-05,276,0
2.25E-03,20,0.006,0.009,7.86,0.003,0.003,2,6.90E-05,276,0
1.52E-02,8.34,0.0127,0.0108,13,0.0055,0.0042,2,6.90E-05,276,1
8.47E-03,13.33,0.0127,0.0108,13,0.0055,0.0042,2,6.90E-05,276,0
1.78E-02,13.33,0.0127,0.0108,13,0.0055,0.0042,2,6.90E-05,276,1
1.36E-02,18.33,0.0127,0.0108,13,0.0055,0.0042,2,6.90E-05,276,0
1.69E-02,18.33,0.0127,0.0108,13,0.0055,0.0042,2,6.90E-05,276,0
1.78E-02,25,0.0127,0.0108,13,0.0055,0.0042,2,6.90E-05,276,0
1.50E-03,18.33,0.0021,0.009,23.59,0.003,0.002,2.5,6.90E-05,276,1
1.33E-03,22.5,0.0021,0.009,23.59,0.003,0.002,2.5,6.90E-05,276,0
1.67E-03,22.5,0.0021,0.009,23.59,0.003,0.002,2.5,6.90E-05,276,0
2.00E-03,22.5,0.0021,0.009,23.59,0.003,0.002,2.5,6.90E-05,276,0
1.50E-03,15,0.0021,0.009,23.59,0.003,0.002,2.5,6.90E-05,276,1
1.50E-03,20,0.0021,0.009,23.59,0.003,0.002,2.5,6.90E-05,276,0
1.50E-03,21.67,0.0021,0.009,23.59,0.003,0.002,2.5,6.90E-05,276,0
1.50E-03,23.33,0.0021,0.009,23.59,0.003,0.002,2.5,6.90E-05,276,0
1.00E-03,7.5,0.0063,0.013,13,0.00295,0.00295,2,6.90E-05,276,1
1.00E-03,10.83,0.0063,0.013,13,0.00295,0.00295,2,6.90E-05,276,0
2.50E-04,16.67,0.003,0.005,8,0.0015,0.0015,2,6.90E-05,276,1
3.33E-04,16.67,0.003,0.005,8,0.0015,0.0015,2,6.90E-05,276,1
2.50E-04,33.33,0.003,0.005,8,0.0015,0.0015,2,6.90E-05,276,0
